molregno,EC50 [nm],SlogP,SMR,LabuteASA,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles
459221,149.35,4.769,100.0377,150.294977446,41.99,346.113984196,3,1,3,1,4,25,43,6,3,0,3,1,0,0,2,0,3
459222,642.4333333333,5.07742,104.7747,156.6599195604,41.99,360.12963426,3,1,3,1,4,26,46,6,3,0,3,1,0,0,2,0,3
459224,3033.65,4.1574,105.9691,164.9479531685,85.13,391.099062404,4,1,5,1,7,28,45,6,3,0,3,1,0,0,2,0,3
459225,3079.8,4.1574,105.9691,164.9479531685,85.13,391.099062404,4,1,5,1,7,28,45,6,3,0,3,1,0,0,2,0,3
459277,5000,5.07742,104.7747,156.6599195604,41.99,360.12963426,3,1,3,1,4,26,46,6,3,0,3,1,0,0,2,0,3
459278,922.6,5.38584,109.5117,163.0248616748,41.99,374.145284324,3,1,3,1,4,27,49,6,3,0,3,1,0,0,2,0,3
459279,2500,5.1591,104.6547,156.6599195604,41.99,360.12963426,4,1,3,1,4,26,46,6,3,0,3,1,0,0,2,0,3
459280,5000,4.1315,106.0665,161.4541533125,62.22,376.12454888,5,2,4,1,5,27,47,6,3,0,3,1,0,0,2,0,3
459281,1236,4.7933,104.818,156.8698910469,33.2,360.12963426,3,0,3,1,4,26,46,6,3,0,3,1,0,0,2,0,3
459282,378.05,4.44678,104.5877,161.0524992418,65.78,371.109233164,3,1,4,1,5,27,44,6,3,0,3,1,0,0,2,0,3
459283,776.15,4.44678,104.5877,161.0524992418,65.78,371.109233164,3,1,4,1,5,27,44,6,3,0,3,1,0,0,2,0,3
459284,64.35,5.2756,107.9017,164.1625250516,41.99,424.024496264,3,1,3,1,5,26,43,6,3,0,3,1,0,0,2,0,3
459285,120.85,5.1195,104.8277,160.5982436728,41.99,380.075011844,3,1,3,1,5,26,43,6,3,0,3,1,0,0,2,0,3
459286,849.5857142857,4.9431,104.6487,156.6599195604,41.99,360.12963426,3,1,3,1,4,26,46,6,3,0,3,1,0,0,2,0,3
459342,5000,4.0356,96.5114,145.8637745966,57.78,329.152812228,3,2,2,1,4,25,44,6,3,0,3,1,0,0,2,0,3
459343,294.9,4.164,97.8327,149.4830789953,54.88,347.109233164,3,1,4,1,5,25,42,6,3,0,3,1,0,0,2,0,3
459345,114.9,4.769,100.0377,150.294977446,41.99,346.113984196,3,1,3,1,4,25,43,6,3,0,3,1,0,0,2,0,3
459346,543.5,4.769,100.0377,150.294977446,41.99,346.113984196,3,1,3,1,4,25,43,6,3,0,3,1,0,0,2,0,3
459347,671.4333333333,4.3381,102.4437,155.8480211097,54.88,361.124883228,3,1,4,1,5,26,45,6,3,0,3,1,0,0,2,0,3
459348,131.25,4.44678,104.5877,161.0524992418,65.78,371.109233164,3,1,4,1,5,27,44,6,3,0,3,1,0,0,2,0,3
459349,2918.4,4.44678,104.5877,161.0524992418,65.78,371.109233164,3,1,4,1,5,27,44,6,3,0,3,1,0,0,2,0,3
472562,161.27,3.4325,124.3019,207.8046342455,113.48,527.134730124,11,3,6,2,13,36,58,3,3,0,0,1,0,0,2,0,0
472563,19.95,2.9182,119.2499,201.6669034215,113.48,511.164280664,11,3,6,2,13,36,58,3,3,0,0,1,0,0,2,0,0
472564,158.49,2.1826,132.4017,220.4917085148,147.62,571.15125278,12,3,8,2,15,39,64,3,3,0,0,1,0,0,2,0,0
472565,2,4.0859,129.3119,218.1079004723,113.48,561.095757772,11,3,6,2,14,37,58,3,3,0,0,1,0,0,2,0,0
472664,7.94,3.0573,119.2079,205.8324388244,113.48,529.154858852,11,3,6,2,14,37,58,3,3,0,0,1,0,0,2,0,0
472829,25.12,2.3217,132.3597,224.6572439177,147.62,589.141830968,12,3,8,2,16,40,64,3,3,0,0,1,0,0,2,0,0
472830,251.19,3.4325,124.3019,207.8046342455,113.48,527.134730124,11,3,6,2,13,36,58,3,3,0,0,1,0,0,2,0,0
472831,50.12,3.5716,124.2599,211.9701696484,113.48,545.125308312,11,3,6,2,14,37,58,3,3,0,0,1,0,0,2,0,0
472832,6309.57,3.4325,124.3019,207.8046342455,113.48,527.134730124,11,3,6,2,13,36,58,3,3,0,0,1,0,0,2,0,0
472898,316.23,3.5716,124.2599,211.9701696484,113.48,545.125308312,11,3,6,2,14,37,58,3,3,0,0,1,0,0,2,0,0
472899,50.12,4.7393,134.3219,228.4111666992,113.48,595.05678542,11,3,6,2,15,38,58,3,3,0,0,1,0,0,2,0,0
472900,794.33,2.8275,122.0969,207.0242822264,126.37,528.129979092,11,3,7,2,14,36,57,3,3,0,0,2,0,0,1,0,0
472901,39.81,2.8275,122.0969,207.0242822264,126.37,528.129979092,11,3,7,2,14,36,57,3,3,0,0,2,0,0,1,0,0
472973,3.16,3.2604,131.1486,213.3921929713,129.27,532.184601508,11,4,6,2,13,38,62,4,4,0,0,2,0,0,2,0,0
472974,6309.57,2.325,109.9636,192.892583109,122.27,501.123558724,10,4,6,2,14,35,52,3,3,0,0,1,0,0,2,0,0
472975,251.19,2.6672,114.5909,199.46749671,113.48,515.139208788,10,3,6,2,14,36,55,3,3,0,0,1,0,0,2,0,0
472976,25.12,3.4474,123.8249,212.1973809388,113.48,543.170508916,12,3,6,2,14,38,61,3,3,0,0,1,0,0,2,0,0
473051,50.12,3.0069,119.5089,209.9979742274,113.48,547.14543704,12,3,6,2,15,38,58,3,3,0,0,1,0,0,2,0,0
473052,50.12,2.0297,120.6197,210.6266725766,133.71,545.149773472,12,4,7,2,15,38,59,3,3,0,0,1,0,0,2,0,0
473583,2128.27,2.7791,119.2919,197.5013680186,113.48,493.173702476,11,3,6,2,12,35,58,3,3,0,0,1,0,0,2,0,0
502526,173000,3.9991,151.6162,243.2819287198,158.43,578.34548318,12,4,8,0,9,41,91,3,0,2,3,0,1,1,0,1,2
502527,75000,5.8335,148.7426,233.0038581832,117.97,544.340003876,11,2,6,0,7,39,87,3,0,2,3,0,1,1,0,1,2
508532,0.49,4.9268,128.6083,216.2289318522,93.81,538.163694308,6,1,7,0,10,37,66,5,1,3,4,1,0,0,0,3,4
627970,596.5,5.7553,101.4918,171.4895507428,38.05,438.055831784,4,1,3,0,9,30,42,4,4,0,0,1,0,0,3,0,0
628022,184.5,6.2696,106.5438,177.6272815668,38.05,454.026281244,4,1,3,0,9,30,42,4,4,0,0,1,0,0,3,0,0
628023,627,5.0112,99.3288,166.5436633208,50.94,421.060502564,4,1,4,0,9,29,41,4,4,0,0,2,0,0,2,0,0
